,text,pre_annotation,all,agreement %
a_923,es difícil saber cómo sentiré hasta que no salga a la calle,[],[],0.0
d_541,Los demás deben entender como me siento,['imperativos'],['imperativos'],100.0
d_758,O estoy bien o nadie me va a querer nunca ,['pensamiento absolutista'],['pensamiento absolutista'],100.0
a_235,Hay días que me cuesta dormir,[],[],0.0
d_645,mi marido es un despreocupado,['etiquetado'],['etiquetado'],100.0
a_697,Me gustaría que mi hijo se implicara más en algunas cosas que para mi son importantes,[],[],0.0
a_1516,Que yo haya notado algo raro no quiere decir que mi pareja ya no me quiera,[],[],0.0
d_1267,"Siento que no soy bueno en mi trabajo, seguro que me depedirán","['razonamiento emocional', 'catastrofismo']",['razonamiento emocional'],50.0
a_879,hasta ahora he mejorado y si me sigo cuidando puedo mejorar aún más ,[],[],0.0
d_1376,"Si no vas confiado al examen, vas a suspender","['razonamiento emocional', 'adivinación']",['razonamiento emocional'],50.0
a_1002,"A lo mejor va mal, pero estoy preparado",[],[],0.0
d_1466,"Se ha caído la pared de la habitación por culpa del moho, es culpa mía por no haberlo sabido antes",['personalización'],['personalización'],100.0
d_236,Todo me supera siempre,['sobregeneralización'],['sobregeneralización'],100.0
a_1307,Aunque esté preocupada puedo aprobar el examen ,[],[],0.0
d_842,O me llaman cada día o es que no les importo mucho,['pensamiento absolutista'],['pensamiento absolutista'],100.0
d_698,soy lento,['etiquetado'],['etiquetado'],100.0
a_629,Me gustaría ser más responsable en el trabajo/en casa,[],[],0.0
d_921,si digo lo que pienso me sentiré peor,['adivinación'],['adivinación'],100.0
a_517,"Es posible que haya ganado algo de peso, podría fijarme un poco mas en mi dieta",[],[],0.0
a_837,En una relación sana de pareja también debe dedicar tiempo amistades ,[],[],0.0
a_1466,No sabía que se caeria la pared por el moho,[],[],0.0
d_359,"Sé que en el fondo, mis amigos no me aguantan. ",['leer la mente'],['leer la mente'],100.0
d_297,Mi familia siempre me trata mal,['sobregeneralización'],['sobregeneralización'],100.0
d_296,Mis parejas siempre me van a ser infieles,"['sobregeneralización', 'adivinación']","['sobregeneralización', 'adivinación']",100.0
d_230,Nadie me comprende,['sobregeneralización'],['sobregeneralización'],100.0
d_688,mi amigo es un engreído,['etiquetado'],['etiquetado'],100.0
t_437,Cuando siento malas sensaciones con alguien me siento mala persona,[],['razonamiento emocional'],0.0
a_782,Las personas a las que les gusto me aprecian con mis virtudes y mis defectos,[],[],0.0
a_1047,"poseo virtudes y cualidades buenas, seguro que podré encontrar a otra persona con quien ser feliz",[],[],0.0
a_1062,"No puedo saber lo que hará mi pareja, pero si creo que estoy sinedo pesado puedo intentar cambiar algunas cosas para que la relación vaya a mejor",[],[],0.0
a_1216,"Es cierto que pasé hambre y no fue un buen momento, pero pude disfrutar de otras experiencias de la excursión ",[],[],0.0
t_314,!Que horror! Como han dejado el patio los gatos!,[],[],0.0
a_466,Tengo la sensacion que mis amigas no me cuentan todo lo que hablan entre ellas.,[],[],0.0
a_437,"Quizás creen que debería mejorar en algunos aspectos, pero nunca me han dicho que no me soporten.",[],[],0.0
a_1154,¿Ser capitán de un equipo es condición indispensable para ser valioso en un deporte?,[],['pensamiento absolutista'],0.0
t_302,estoy seguro de que las cosas pueden cambiar,[],[],0.0
d_598,Tengo que hacer todo bien para gustar a todos,['imperativos'],['imperativos'],100.0
d_447,"Siempre me preocupo por la salud de mi pareja. Ella piensa que soy un exagerado, lo sé ",['leer la mente'],"['sobregeneralización', 'etiquetado']",0.0
a_653,"A veces creo que pienso sólo en mi, pero no siempre es así",[],[],0.0
d_1471,"En el parque mi hijo se ha caído del tobogán, debería haber estado vigilandolo más","['personalización', 'imperativos']",['imperativos'],50.0
a_1457,Se pueden haber quejado de mi como de de otro residente,[],[],0.0
a_1147,"No tengo pruebas suficientes para saber cómo me sentiré a lo largo del día, es mejor esperar a ver como va ",[],[],0.0
d_373,"Aunque no me lo diga, sé que no me quiere como antes.",['leer la mente'],['leer la mente'],100.0
a_583,Puedo trabajar para intentar actuar de forma más correcta,[],[],0.0
a_705,Me gustaría que mi hijo fuera más respetuoso conmigo,[],[],0.0
a_1005,"A veces me pongo nervioso en sitios cerrados y pequeños, (a ver cómo es la consulta)",[],[],0.0
d_1146,Mi pareja me ha venido a buscar al trabajo pero ha llegado un poco tarde. Sé que no me quiere como antes,"['abstracción selectiva', 'leer la mente']",['abstracción selectiva'],50.0
a_895,"aunque no me gustaría que pasara algo malo, si sucede podría afrontarlo con éxito",[],[],0.0
a_845,"Lo importante es que me esfuerce en estudiar y sacar buena nota, no tanto la nota final en si.",[],[],0.0
d_437,Sé con certeza que en casa no me soportan,['leer la mente'],['leer la mente'],100.0
a_817,Si marido se enfada yo también tengo derecho a expresar mi punto de vista y él ha de respetarlo,[],['imperativos'],0.0
a_429,"Creo que mi pareja me miente, pero no lo sé bien. Convendría hablarlo.",[],[],0.0
a_1482,Que mi madre cambie de tema no tiene porque indicar que no le interessa,[],[],0.0
a_794,Equivocarme forma parte de aprender a hacerlo lo mejor posible,[],[],0.0
a_803,"A veces puedo tener un día más complicado en el trabajo pero esto no quiere decir que mis compañeros no les importe, cada uno tenemos nuestros problemas.",[],[],0.0
a_1325,"Si estas tranquila, afrontarás las cosas con más calma. Puede que te encuentres dificultades, pero las podrás gestionar mejor",[],[],0.0
d_776,Si no limpio siempre todo a fondo no seré una buena ama de casa,['pensamiento absolutista'],['pensamiento absolutista'],100.0
d_1154,Mi entrenador dice que confía en mí pero no me valora como posible capitán del equipo. Quizás no valgo para esto.,['abstracción selectiva'],['abstracción selectiva'],100.0
a_1484,No es mi culpa que se haya estropeado la calefacción,[],[],0.0
d_268,Nunca seré un buen marido,"['sobregeneralización', 'adivinación']",['sobregeneralización'],50.0
d_328,Siempre hago el ridículo,['sobregeneralización'],['sobregeneralización'],100.0
d_854,Si en la fiesta no sale todo tal y como lo he planeado sera un autentico desastre,['pensamiento absolutista'],"['pensamiento absolutista', 'catastrofismo']",100.0
d_1160,"Casi siempre tengo éxito cuando trato de ligar. No obstante, ayer me rechazaron ya no le voy a gustar a nadie.",['abstracción selectiva'],['abstracción selectiva'],100.0
d_400,"Sé que ya no me quiere, lo noto en su mirada.",['leer la mente'],['leer la mente'],100.0
d_943,si voy de compras me sentiré culpable,['adivinación'],['adivinación'],100.0
a_826,"Puede que hayamos pasado mejores momentos, pero si no encontramos justo hoy la solución podemos seguir pensando como arreglar nuestras diferencias.",[],[],0.0
a_365,"Puede que me tenga manía, pero no lo sé seguro. Debería preguntarle.",[],[],0.0
a_1505,Que me hayan respondido mal no quiere decir que piensen que soy inseguro,[],[],0.0
t_360,"Serà duro volver al trabajo, depués de tantos días de vacaciones disfrutando",[],[],0.0
t_250,"Se me ha roto el móvil, tengo que comprar otro",[],[],0.0
d_1330,Si desconfío será porque tengo motivos,['razonamiento emocional'],['razonamiento emocional'],100.0
d_286,Siempre soy incapaz de llevar a cabo lo que me propongo,['sobregeneralización'],['sobregeneralización'],100.0
a_224,"A veces me gustaria que las personas estubieran más atentas a lo que digo, puedo decirles que para mi es importante que me escuchen",[],[],0.0
a_1034,"No puedo anticipar si aún no ha pasado, mejor espero a ver como va",[],[],0.0
a_469,Tengo la sensacion de que el entrenador ya no confia en mi,[],[],0.0
d_402,Mis amigos piensan que soy un ser despreciable ,"['leer la mente', 'etiquetado']",['leer la mente'],50.0
d_295,Mi jefe nunca me valora,['sobregeneralización'],['sobregeneralización'],100.0
t_298,"cuando vaya a la fiesta, voy a centrarme en disfrutar el momento",[],[],0.0
d_525,Debo terminar todas las tareas que empiezo,['imperativos'],['imperativos'],100.0
d_228,No se puede confiar en nadie,['sobregeneralización'],['sobregeneralización'],100.0
d_963,"Me va a salir mal, lo sé",['adivinación'],['adivinación'],100.0
a_1519,Que mi perro se haya escapado no me convierte en un desastre,[],[],0.0
d_1074,¿Y si le pasa algo malo a mi pareja? eso sería insoportable,['catastrofismo'],['catastrofismo'],100.0
d_1271,"Hoy me siento triste, por lo que solo me pasarán cosas malas","['razonamiento emocional', 'adivinación']","['adivinación', 'razonamiento emocional']",100.0
d_246,"Soy un fracasado, siempre lo seré ","['sobregeneralización', 'etiquetado']","['etiquetado', 'adivinación']",50.0
a_326,Que me haya pasado alguna vez no significa que vaya a ser así siempre,[],[],0.0
t_215,Intento hacer todo lo que puedo,[],[],0.0
a_1285,Cada uno expresa sus emociones de distinta manera. Entiendo que aunque no llores puede darte pena,[],[],0.0
a_570,"Me gusta estar acompañado, pero aprender a estar solo también me puede ir bien",[],[],0.0
a_527,Me gusta ser bueno en lo que hago,[],[],0.0
a_568,"Me siento más segura cuando alguien me acompaña, pero por ir sola no tiene porque pasarme nada malo",[],[],0.0
a_1498,No es culpa mía que mi paciente haya acabado en urgencias,[],[],0.0
d_1268,"Siento que mis amigos se estan alejando de mí, por lo que debo haber hecho algo malo","['razonamiento emocional', 'personalización']",['razonamiento emocional'],50.0
d_357,Mi pareja piensa que soy un inútil,"['leer la mente', 'etiquetado']",['leer la mente'],50.0
d_1311,Si me siento vulnerable los demás se aprovecharan de mí,"['razonamiento emocional', 'adivinación']",['razonamiento emocional'],50.0
a_702,En ocasiones mi jefe me parece una persona muy distante,[],[],0.0
d_414,"Por cómo me contesta, está claro que no quiere ni verme.",['leer la mente'],['leer la mente'],100.0
t_311,Las cosas se pueden poner difíciles,[],[],0.0
d_659,en mi familia somos unos amargados,['etiquetado'],['etiquetado'],100.0
d_253,El mundo siempre es peligroso,['sobregeneralización'],['sobregeneralización'],100.0
a_1351,"Si me siento inferior en mi trabajo puede ser por muchos motivos. No me valoro lo suficiente, alguien me trata mal, etc. Tendré que averiguar qué me hace sentir así.",[],[],0.0
a_204,Hay cosas que me gustaria cambiar a mi alrededor para ver que las cosas estan bien,[],[],0.0
d_1210,"Dijo que le gustaban mis zapatos y mi vestido, pero no mencionó nada acerca de mi bolso. Seguro que piensa que no tengo estilo","['abstracción selectiva', 'leer la mente']",['abstracción selectiva'],50.0
d_1435,"Tomás se ha caído jugando en el parque, no lo he vigilado suficiente.",['personalización'],[],0.0
d_1324,"Me siento insegura por la calle, será porque es peligroso",['razonamiento emocional'],['razonamiento emocional'],100.0
d_950,sé que no habrá nada que yo pueda comer,['adivinación'],['adivinación'],100.0
t_465,"Si estoy en peligro  es algo malo para mí, mejor que me aleje",[],[],0.0
a_827,Puedo sentir intranquilidad y no perder el control,[],[],0.0
d_1071,"la presentación me saldrá increíblemente mal, me abuchearán",['catastrofismo'],['adivinación'],0.0
d_1047,"me quedaré solo seguro, no lo podré aguantar, será insoportable",['catastrofismo'],"['adivinación', 'catastrofismo']",100.0
d_890,me sentiré mal cuando lo haga,['adivinación'],['adivinación'],100.0
d_594,Deberia ser más sociable,['imperativos'],['imperativos'],100.0
a_1345,"No me divierte mi trabajo, pero eso no es motivo suficiente para dejarlo. Es bastante normal que no me divierta, es trabajo, no tiempo de ocio",[],[],0.0
d_759,O hago todo lo que me he propuesto en la vida o será un fracasado,['pensamiento absolutista'],['pensamiento absolutista'],100.0
a_1338,"No me ha hecho ilusión ir a cenar con mi pareja, pero esto no significa que ya no me guste. Quizás es porque hoy no tenía muy buen día",[],[],0.0
a_765,No necesito controlar mi peso constantemente para estar a gusto con mi cuerpo,[],[],0.0
a_513,"Me gustaría tener hijos, si puede ser de aquí a no mucho tiempo mejor.",[],[],0.0
d_469,El entrenador piensa que soy malo y no confia en mi,"['leer la mente', 'etiquetado']",['leer la mente'],50.0
d_574,Debo tenerlo todo bajo control,['imperativos'],['imperativos'],100.0
a_787,"Las personas que quieran estar conmigo aceptarán que mis estados de ánimo cambian, como los de todos",[],"['imperativos', 'adivinación']",0.0
a_756,Ser buena persona implica más cosas que cuidar de los demás,[],[],0.0
a_937,"ya me quisieron en el pasado, es posible que en el futuro pueda conocer gente que me quiera",[],[],0.0
d_285,Nunca disfruto de nada,['sobregeneralización'],['sobregeneralización'],100.0
a_899,"no puedo adivinar que piensan los otros de mí, es mejor ser uno mismo y ver que sucede",[],[],0.0
t_316,Para mi es insoportable el olor a gasolina,[],[],0.0
a_1339,"Me siento irritable hoy, puede que algo me haya molestado, que no haya dormido bien, etc.",[],[],0.0
a_1098,"La cita no ha ido lo bien que queria, pero hemos pasado un buen rato",[],[],0.0
a_662,"A veces pienso mal sobre las personas, aunque no siempre es así",[],[],0.0
a_975,"Puede que si busco ayuda experta el negocio vaya bien, tengo que probar para saber que passará.",[],[],0.0
d_1192,"Soy un mal jugador, porque aunque mis amigos me dijeron que estuve impresionante en el partido, mi padre no me dijo nada.",['abstracción selectiva'],['abstracción selectiva'],100.0
d_1022,No hay nada peor que lo que me ha pasado,['catastrofismo'],['catastrofismo'],100.0
t_274,Mi amigo fue el triunfador de la competición,[],[],0.0
a_1058,"puedo mirar diferentes presupuestos y, además, lo puedo pagar a plazos",[],[],0.0
d_740,Si no hago las cosas bien no me querrán,['pensamiento absolutista'],['pensamiento absolutista'],100.0
d_1386,"No he visto a mis padres muy contentos cuando les he dado la noticia, no les importa lo que me pase","['razonamiento emocional', 'leer la mente']",['abstracción selectiva'],0.0
d_395,"En el fondo, mi abuelo piensa que me aprovecho de él.",['leer la mente'],['leer la mente'],100.0
d_338,No hago nada bien,['sobregeneralización'],['sobregeneralización'],100.0
t_322,Sería horroroso que la guerra durara muchos días más,[],[],0.0
a_1298,"Siento que no merezco a mi pareja y eso me hace sentirme insegura, pero mi emoción no tiene que ver con que me vaya a dejar",[],[],0.0
d_1143,No pude disfrutar del plan con los compañeros de trabajo porque uno de ellos no me saludó.,['abstracción selectiva'],['abstracción selectiva'],100.0
d_556,"Mi familia y mis amigos no deben saber que estoy mal, se preocuparían por mí",['imperativos'],['imperativos'],100.0
a_747,"Ser madre es una decisión, no me define como mujer",[],[],0.0
d_1110,Tal y como ha ido la entrevista segur que me descartan la primera,['catastrofismo'],['adivinación'],0.0
a_1390,"Hoy tengo un mal día, esto no significa que nada en mi vida haya perdido el sentido. Cuando me sienta mejor lo veré todo de otro modo.",[],[],0.0
a_1206,"Que no siga mis indicaciones no depende de mí totalmente, por lo que no me convierte en un mal nutricionista ",[],[],0.0
d_261,Aunque lo intento siempre fracaso,['sobregeneralización'],['sobregeneralización'],100.0
d_724,Mi compañero es muy pesado ,['etiquetado'],[],0.0
d_1479,"Mi padre nunca sonríe desde que estoy cuidando de él, seguro que es por mi culpa.",['personalización'],['personalización'],100.0
a_358,"Puede que no lo piense, pues sigue saliendo conmigo.",[],[],0.0
d_922,estoy seguro de que no encontraré un sitio donde vivir,['adivinación'],['adivinación'],100.0
d_995,Me aislo del mundo porque sólo puede hacerme daño,['adivinación'],['abstracción selectiva'],0.0
d_997,"aunque ahora mismo estoy bien, estoy convencida de que va a pasar algo malo",['adivinación'],['adivinación'],100.0
a_1518,"Si nadie no se lo ha pasado bien, no es mi culpa",[],[],0.0
t_210,No entiendo como nadie se ha dado cuenta,[],[],0.0
t_334,Hay planes que salen mal,[],[],0.0
d_848,O me dedico tiempo a mi misma o no voy a poder con todo,['pensamiento absolutista'],[],0.0
a_1023,"No soy el rey de las fiestas e incluso a veces paso malos momentos, pero conozco gente nueva y merece la pena ",[],[],0.0
a_1192,"Quizás mi padre no me dijo nada porque estaría pensando en otros temas, pero eso no quiere decir que no le haya impresionado mi rendimiento",[],[],0.0
d_1337,"Hace días que me siento sin ganas, ya nunca estaré bien","['razonamiento emocional', 'catastrofismo']","['sobregeneralización', 'razonamiento emocional']",50.0
d_908,no quiero ir porque me sentiré fuera de lugar,['adivinación'],['adivinación'],100.0
a_1102,No ha ido todo lo bien que esperaba.,[],[],0.0
d_1370,Si estoy triste mucho tiempo voy a quedarme así para siempre,['razonamiento emocional'],"['razonamiento emocional', 'adivinación']",100.0
a_1038,"si lo pienso bien, he pasado cosas peores",[],[],0.0
a_902,si soy previsor y cuido mis finanzas es difícil que me arruine,[],[],0.0
d_1422,"Juan no me ha invitado a su boda, seguro que no le caigo bien.","['personalización', 'leer la mente']","['leer la mente', 'abstracción selectiva']",50.0
d_1517,"Cuando he quedado con mi amigo se me ha quedado mirando los zapatos, seguro que no me quedan bien",['personalización'],['personalización'],100.0
a_544,"Me gusta que me acepten como soy, pero puedo entender que hayan cosas de mí que a otro puedan no gustarle",[],[],0.0
a_586,Si noto que necesito más cariño  lo puedo decir sinó a veces es dificil que los demás lo noten,[],[],0.0
d_868,seguro que decepcionaré a mis padres,['adivinación'],['adivinación'],100.0
a_723,"Tengo algunas constumbres que hago simpre igual, como muchas personas, pero esto no me define.",[],[],0.0
a_990,"Puede que me equivoque en algun momento de la entrevista, pero de ser así no pasaria nada grave.",[],[],0.0
a_297,A veces mi familia no me trata como yo espero,[],[],0.0
d_213,todo lo que hago siempre lo hago mal,['sobregeneralización'],['sobregeneralización'],100.0
a_752,Aunque esté nervioso la presentación puede salirme como espero,[],[],0.0
a_394,"No estoy del todo seguro, pero creo que la gente no me soporta.",[],[],0.0
d_419,La gente no se me acerca porque piensa que soy frío ,"['leer la mente', 'etiquetado']",['leer la mente'],50.0
d_498,Tengo que ser más egoísta,['imperativos'],['imperativos'],100.0
a_321,Que algunas personas no quieran salir conmigo no significa que nadie quiera hacerlo,[],[],0.0
a_411,"Si no me acerco, no podré saber si quiere conocerme o no.",[],[],0.0
t_373,No soporto que me griten ni que me peguen ,[],[],0.0
a_1411,Aunque mi madre no hubiese salido igual hubiera enfermado de todos modos,[],[],0.0
a_1360,"El preocuparme no va a hacer que me enferme. Aún así, me sentiría mejor si me relajara un poco",[],[],0.0
d_935,sé que si voy a la excursión no dejaré de pensar en cómo estoy y me sentiré mal,['adivinación'],['adivinación'],100.0
d_335,Nunca encontraré a nadie que quiera estar conmigo,"['sobregeneralización', 'adivinación']",['adivinación'],50.0
a_354,Tengo la sensacion que el entrenador no confia en mi,[],[],0.0
a_1429,Que no me hagan caso puede ser por muchos motivos,[],[],0.0
a_514,"Me gustaría casarme y tener hijos, aunque si las cosas ocurren de otra manera también estará bien",[],[],0.0
a_904,"puedo ir a la cita sin expectativas, disfrutar el momento y ser natural, así sentiré menos presión",[],[],0.0
a_925,No puedo saber que pasará antes de ir a la fiesta,[],[],0.0
a_1258,Que mi hermana no me llame en una ocasión en la que necesita ayuda no me convierte en mala hermana. Ella puede tener otras personas en las que confiar.,[],[],0.0
d_833,Si me equivoco no conseguiré nuca lo que me propongo,"['pensamiento absolutista', 'sobregeneralización']",['pensamiento absolutista'],50.0
d_1442,"Han quedado para cenar y no me han dicho nada, ya no me quieren como su amiga.",['personalización'],['abstracción selectiva'],0.0
a_1134,"Sería bueno que prestara atención también al hecho de que me felicitaron, más allá de las críticas.",[],[],0.0
d_891,sé que no me gustará,['adivinación'],['adivinación'],100.0
d_227,Nunca voy a superar esto,"['sobregeneralización', 'adivinación']",['adivinación'],50.0
a_767,"Enviar mensajes a mi hija sólo sirve para tranquilizarme un rato, no puedo controlar las cosas que le pasan",[],[],0.0
a_712,mis compañeros a veces me piden favores que me parecen demasiado,[],[],0.0
d_1216,No calculé bien la comida y pasé hambre. La excursión fue un desastre.,['abstracción selectiva'],['abstracción selectiva'],100.0
d_720,"Soy horrible, le hago daño a todo el mundo",['etiquetado'],"['etiquetado', 'sobregeneralización']",100.0
a_773,Mis amistades no me definen como persona,[],[],0.0
d_1421,"He escuchado como criticaban a alguien, estoy segura que era por mi",['personalización'],['personalización'],100.0
a_408,"Puede que mi profesor de música no confíe en mi talento, no estoy seguro.",[],[],0.0
d_940,me sentiré fatal si voy a la entrevista,['adivinación'],['adivinación'],100.0
a_333,"Si has llegado hasta aquí, has aprobado otros cursos, igual en este pasará lo mismo",[],[],0.0
t_264,Deben ser las 3 de la mañana en mí país,[],[],0.0
d_752,O me tranquilizo o no podré hacer bien la presentación.,['pensamiento absolutista'],"['pensamiento absolutista', 'razonamiento emocional']",100.0
a_763,Mi valor como persona no depende sólo de cómo hago las cosas,[],[],0.0
a_291,"A algunas personas no les caigo bien, no se puede caer bien a todo el mundo",[],[],0.0
a_384,No estoy seguro de lo que piensan mis padres acerca de mí. Debería preguntarles.,[],[],0.0
d_732,Mi hermana es muy egoista,['etiquetado'],['etiquetado'],100.0
a_1404,Que no haya conseguido toso los objetivos no implica que no haya aprovechado la vida,[],[],0.0
a_1260,Pasar poco tiempo con mi hijo no em define como malamadre. Hago constantemente muchas cosas para él. ,[],[],0.0
a_764,"Hacer bien mi trabajo implica hacer lo necesario, ni más ni menos",[],[],0.0
t_277,Veo a mi hermana excesivamente delgada,[],[],0.0
d_1039,"Me pasó algo inaguantable, es horroroso",['catastrofismo'],['catastrofismo'],100.0
d_1518,"Monté una fiesta y al final nadie se lo ha pasado bien, no se que es lo que he hecho mal",['personalización'],['personalización'],100.0
a_1279,"Estoy enfadada y me da la sensación de que lo has hecho con mala intención, pero puede que no sea así. A veces me he enfadado por cosas que los otros han hecho sin querer",[],[],0.0
a_277,Muchas veces la gente puede cambiar,[],[],0.0
d_1148,"Aunque siempre me avisan cuando van a tomar café, mis compañeros no me valoran porque hoy se han olvidado de mi. ",['abstracción selectiva'],['abstracción selectiva'],100.0
d_1238,"Después de toda la semana haciendo dieta, hoy no me he podido resistir a ese dulce. No soy persistente ",['abstracción selectiva'],['abstracción selectiva'],100.0
d_853,O soy la hija perfecta o simepre querran más a mi hermano,['pensamiento absolutista'],['pensamiento absolutista'],100.0
t_299,sé que fracasaré en ocasiones,[],['adivinación'],0.0
d_821,Si no hago siempre cosas útiles mi vida no tiene sentido ,['pensamiento absolutista'],['pensamiento absolutista'],100.0
t_212,Siempre que puedo visito a mi abuela,[],[],0.0
t_422,Me duele cuando alguien hace algo malo queriendo,[],[],0.0
d_1501,Si me hubiera estudiado mejor ese apartado seguro que hubiese aprobado,['personalización'],[],0.0
d_742,O hago todo perfecto o me echarán del trabajo ,['pensamiento absolutista'],['pensamiento absolutista'],100.0
d_1117,"No aguantaré ésta presión, el estrés será terrible ",['catastrofismo'],"['adivinación', 'catastrofismo']",100.0
t_313,Este calor es inaguantable,[],[],0.0
a_1148,"solo hoy no me han avisado y puede ser por multiples motivos, no necesariamente porque no me valoren.",[],[],0.0
a_1428,Que la profesora me esté mirando no quiere decir que vaya a suspenderme,[],[],0.0
a_770,"Una relación sana se basa en el respeto mutuo, no en imponer al otro lo que tiene que hacer",[],[],0.0
d_1177,La semana que viene me voy de vacaciones y pronostican días de lluvia. Serán las peores vacaciones de mi vida. ,"['abstracción selectiva', 'catastrofismo']",['adivinación'],0.0
a_1318,"Si me siento tranquilo, afrontaré el examen con una buena actitud, pero hay más factores que influyen en aprobar",[],[],0.0
d_1414,"La camarera del bar me ha mirado con muy mala cara, seguro que piensa que soy desagradable.","['personalización', 'leer la mente']",['leer la mente'],50.0
a_518,"Me gustaría adelgazar, puedo hacer dieta para ello",[],[],0.0
a_1145,Quizás hubo otros aspectos de la cena que pude disfrutar ,[],[],0.0
a_1166,"Quizás ese ascenso que reclamas depende de otras circunstancias no relacionadas contigo, pues parece que te valora al felicitarte por tu rendimiento",[],[],0.0
d_1415,"La dependienta me ha dicho que mejor que coja una talla grande de los pantalones, seguro que lo dice porque piensa que estoy gorda. ","['personalización', 'leer la mente']",['leer la mente'],50.0
a_1124,"Me esperaba tener un futuro más prometedor a mi edad, pero aun estoy a tiempo de mejorarlo.",[],[],0.0
a_730,En ocasiones puedo dar rabia a la gente pero esto no significa que me vaya a odiar.,[],[],0.0
d_681,soy una persona horrible,['etiquetado'],['etiquetado'],100.0
a_1380,"Me da mucho miedo, pero solo es mi emoción. Puedo afrotarlo",[],[],0.0
d_573,tengo que saber de donde vienen mis preocupaciones,['imperativos'],['imperativos'],100.0
t_417,"Aunque me vaya lejos, segurás teniéndome para lo que necesites",[],[],0.0
a_1273,"Sentirme capaz no es sinónimo de ser capaz, pero seguramente me ayudará a afrontar la situación",[],[],0.0
d_987,"Si no me aguanto ni yo, mi pareja no me va a aguantar y me dejará seguro",['adivinación'],"['catastrofismo', 'adivinación']",100.0
a_667,me gustaría que mi tía me preguntara menos sobre mi vida,[],[],0.0
d_1304,"Siento verguenza, me saldrá mal","['razonamiento emocional', 'adivinación']",['razonamiento emocional'],50.0
a_1361,Es normal ponerse nerviosa al empezar un trabajo. Pero poco a poco a medida que lo vaya haciendo voy a sentirme más relajada,[],[],0.0
t_201,Las cosas nunca salen iguales,[],['pensamiento absolutista'],0.0
a_1514,No es culpa mía que mis hermanos hayan roto un jarrón,[],[],0.0
a_1424,Pueden haber muchas razones por las que Paula tenga mala cara hoy,[],[],0.0
a_1036,"Que me diagnostiquen algo malo sería duro, pero hay buenos tratamientos y siempre se puede hacer algo",[],[],0.0
t_318,¿Y si vamos de viaje a París?,[],[],0.0
d_1179,"Ha sido un día horrible, ha perdido mi equipo de fútbol",['abstracción selectiva'],"['sobregeneralización', 'catastrofismo']",0.0
d_866,Si no me explica nada de lo que hace es que no le importo nada,"['pensamiento absolutista', 'sobregeneralización']","['sobregeneralización', 'pensamiento absolutista']",100.0
d_1450,"Cuando mi madre me ha dicho que se ha roto el sofa, inmediatamente he pensado que ha debido de ser mi culpa",['personalización'],['personalización'],100.0
a_476,"Me sentiria mejor si todo me saliera bien, pero a veces no es así",[],[],0.0
a_1208,"Que me digan que puedo mejorar en algo, no significa que sea un desastre, y menos si me felicitaron",[],[],0.0
a_699,A veces siento que mi amiga piensa demasiado en su beneficio,[],[],0.0
t_405,Me he dejado la vida por mis hijos y estoy satisfecho por ello.,[],[],0.0
a_421,No puedo saber lo que piensa mi vecino si no le pregunto,[],[],0.0
t_219,Jamas he visto una peli de terror,[],[],0.0
a_1247,Que me dé un consejo no significa que sea una carga para él.,[],[],0.0
a_546,"Me gusta que mis padres me cuiden, pero tengo que asumir responsabilidades sobre mí mismo",[],[],0.0
a_470,"Me hubiera gustado ayudar a mi amigo, sin embargo esta vez mis actividades pendeintes no me lo permitieron, él sabe que siempre que puedo le ayudo con mucho gusto.",[],[],0.0
a_335,"Aunque una persona no quiera estar conmigo, no significa que otras no vayan a querer ",[],[],0.0
a_1011,"Esta situación está siendo difícil, pero sé que mejorará.",[],[],0.0
d_1001,"Me he confundido, estoy acabado",['catastrofismo'],"['catastrofismo', 'sobregeneralización', 'personalización']",100.0
a_1493,Que no me haya saludado no quiere decir que tenga algo contra mi,[],[],0.0
a_668,a veces siento la necesidad de explicarle a los demás lo que me disgusta/me enfada,[],[],0.0
d_399,"Mi pareja no me lo ha dicho pero, sé que no me ve tan atractivo como antes.",['leer la mente'],['leer la mente'],100.0
t_216,Siempre que llamo a mi primo me coge el teléfono ,[],[],0.0
d_1449,"Si no consigo aprobar el examen, será porque no soy suficienemente buena.",['personalización'],['sobregeneralización'],0.0
d_958,sé que me dejaré de tomar la medicación,['adivinación'],['adivinación'],100.0
a_494,Me gustaria tener todo lo que necesito controlado para sentirme más segura. ,[],[],0.0
a_1397,No tengo pruebas suficientes para demostrar eso,[],[],0.0
d_774,Si me tomo tiempo libre me convertiré en una vaga,['pensamiento absolutista'],"['abstracción selectiva', 'etiquetado', 'sobregeneralización']",0.0
a_771,Realizarme cómo mujer es mucho más que ser esposa y madre,[],[],0.0
d_1285,Si no lloras es porque no te da pena,"['razonamiento emocional', 'leer la mente']",['pensamiento absolutista'],0.0
t_330,Engordar 4 kg en las navidades es incómodo ,[],[],0.0
d_220,he tenido problemas en el trabajo nunca me van a entender,['sobregeneralización'],"['personalización', 'sobregeneralización', 'pensamiento absolutista']",100.0
a_1459,No debo atribuirme toda la culpa de que haya ocurrido,[],[],0.0
d_717,No valgo para nada,['etiquetado'],"['sobregeneralización', 'pensamiento absolutista']",0.0
d_621,soy torpe,['etiquetado'],['etiquetado'],100.0
