Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
107,Mi pareja debe apoyarme en todo lo que hago,Imperativos,,,,,,"Me gusta recibir apoyo de mi pareja, aunque no tiene porque estar de acuerdo con todo",,,,,
108,Mi pareja debería estar más por mi,Imperativos,,,,,,"Me gusta que mi pareja esté pendiente de mi, aunque entiendo que también tiene cosas de las que ocuparse",,,,,
109,"Mi pareja debería pasar más tiempo conmigo, en lugar de con sus amigos",Imperativos,,,,,,"Me gusta que mi pareja y yo pasemos tiempo juntos, pero es sano que esté también con sus amigos",,,,,
110,Mi pareja tiene que contestarme rápido a los watsapps,Imperativos,,,,,,"Me inquieto cuando mi pareja no me respode rápido a los whatsapps, pero es normal que tarde si está ocupado haciendo otras cosas",,,,,
111,A mi pareja debe gustarle lo mismo que a mi,Imperativos,,,,,,"Aunque me gusta compartirlo todo con mi pareja, cada uno puede tener gustos distintos y esto puede enriquecer nuestra relación",,,,,
112,Debo saber siempre lo que hace mi pareja,Imperativos,,,,,,"Me siento mal cuando no sé que está haciendo mi pareja, pero puede ser sano que cada uno tenga su espacio en el dia a dia",,,,,
113,No debo dejar a mi pareja sola,Imperativos,,,,,,"Aunque me preocupa que mi pareja esté sola, es importante que sea autónoma",,,,,
114,Debo mantener relaciones sexuales con mi pareja más a menudo,Imperativos,,,,,,"Me gustaría tener relaciones sexuales con mi pareja más a menudo, podría decírselo y así podríamos hablar sobre ello",,,,,
115,No debo ir sola por la calle,Imperativos,,,,,,"No me siento cómoda yendo sola por la calle, aunque puede que sea más una sensación que un peligro real",,,,,
116,Debo ir siempre acompañada para que no me pase nada,Imperativos,,,,,,"Me siento más segura cuando alguien me acompaña, pero por ir sola no tiene porque pasarme nada malo",,,,,
117,No debería salir de casa,Imperativos,,,,,,"A pesar de sentirme más segura cuando estoy en casa, salir a la calle me puede sentar bien",,,,,
118,Debería estar siempre solo,Imperativos,,,,,,"Siento que estoy mejor cuando estoy solo, pero quizas los demás podrían aportarme cosas buenas",,,,,
119,tengo que dejar de pensar en cosas malas,Imperativos,,,,,,"Tengo bastantes pensamientos negativos que hacen que no me sienta bien, podría intentar pensar en cosas más agradables que me hagan sentir mejor",,,,,
120,No debería estar constantemente preocupado por todo,Imperativos,,,,,,Me sentaría bien intentar preocuparme menos por las cosas que suceden a mi alrededor,,,,,
121,tengo que saber de donde vienen mis preocupaciones,Imperativos,,,,,,"Me gustaría saber cual es el motivo de mis preocupaciones, para entender mejor como me siento",,,,,
122,Debo tenerlo todo bajo control,Imperativos,,,,,,"Me gusta tenerlo todo bajo control, aunque me podría sentar bien ser más espontánea",,,,,
123,Tengo que estar a salvo,Imperativos,,,,,,Me gusta sentirme seguro,,,,,
124,Debo pagar por las cosas malas que he hecho,Imperativos,,,,,,"He hecho cosas malas en mi vida, y aunque a veces creo que merezco ser castigado, puedo aprender de ello y no volver a hacer las mismas cosas",,,,,
125,Debería acabar con todo para dejar de sufrir,Imperativos,,,,,,"Auque a veces pienso en acabar con todo para dejar de sufrir, hay muchas alternativas para sentirme mejor",,,,,
126,"Debería morirme, todo seria mejor sin mí",Imperativos,,,,,,"A veces creo que los demás estarían mejor sin mi, quizás tengo estos pensamientos porque estoy pasando por un mal momento, podría pedir ayuda",,,,,
127,Debería dejar de existir,Imperativos,,,,,,"Ahora mismo no le encuentro mucho sentido a mi vida, pero probablemente sea porqué no me siento bien",,,,,
128,Debería alejarme de la gente que quiero para no hacerles daño,Imperativos,,,,,,"Aunque a veces siento que estando cerca de los demás les hago daño, es posible que esté pasando por alto las cosas buenas que les aporto",,,,,
129,Debería dejarlo todo y empezar de zero,Imperativos,,,,,,"No es necesario dejarlo todo para encauzar nuestra vida, nuestros errores pueden servirnos como punto de partida para empezar a mejorar",,,,,
130,deberían hacerme caso,Imperativos,,,,,,Cuando necesitamos algo esta bien que lo podamos pedir/decir,,,,,
131,debería ser más competente y actuar de forma correcta,Imperativos,,,,,,Puedo trabajar para intentar actuar de forma más correcta,,,,,
132,no debería cometer errores,Imperativos,,,,,,Todos comentemos errores a veces,,,,,
133,Debería estar bien y no tener estos problemas,Imperativos,,,,,,"A veces no elegimos las dificultades que tenemos, podemo intentar buscar la mejor solución a los problemas que tenemos",,,,,
134,Debería recibir más atención y cariño de los demás,Imperativos,,,,,,Si noto que necesito más cariño  lo puedo decir sinó a veces es dificil que los demás lo noten,,,,,
135,Tengo que ser más amable y hablar más con la gente,Imperativos,,,,,,Puedo entrenarme para ser más asertivo,,,,,
136,Tengo que aprender a ser mejor persona,Imperativos,,,,,,Puedo mejorar algunas cosas de mi forma de ser que no me gustan,,,,,
137,Debo caer bien a todos,Imperativos,,,,,,"Las personas somos diferentes, no siempre caemos bien a todos y es normal",,,,,
138,Tendría que pasar más tiempo con mis padres,Imperativos,,,,,,Intentaré ir más a ver a mis padres,,,,,
139,Las personas deberían ser más comprensivas ,Imperativos,,,,,,Me gustaria que las otras personas fuesen más comprensivas,,,,,
140,Debo cambiar mi forma de ser,Imperativos,,,,,,Puedo mejorar algunas cosas de mi forma de ser que no me gustan,,,,,
141,Tengo que gustar a todos,Imperativos,,,,,,"Las personas somos diferentes, no siempre caemos bien a todos y es normal",,,,,
142,Deberia ser más sociable,Imperativos,,,,,,Intentaré acercarme más a la gente,,,,,
143,"Deberia ser más eficaz y acabar de una vez las cosas, siempre tengo cosas pendientes por hacer",Imperativos,Sobregeneralización,,,,,"Podria intentar reducir las cosas pendeintes por hacer, pero es normal tener algunas cosas por hacer",,,,,
144,Mi familia deberia ser más comprensiva hacia mis dificultades,Imperativos,,,,,,Me gustaria que mi familia fuese más comprensiva en lo que me pasa,,,,,
145,"Deberia haber sido más atenta con mi pareja, así no me hubiese dejado",Imperativos,,,,,,Se ha acabado la relación con mi pareja por diferentes motivos,,,,,
146,Tengo que hacer todo bien para gustar a todos,Imperativos,,,,,,"Intentaré hacer las cosas lo mejor que pueda, también para sentirme bien conmigo misma",,,,,
147,"Mi hermana deberia ser más empatica conmigo, siempre hace lo que quiere y esto me irrita. ",Imperativos,,,,,,"Mi hermana es diferente a mi y hace las cosas a su manera, podria hablar con ella asertivamente cuando las cosas que hace me molesten.",,,,,
148,Tengo que hacer mejor mi trabajo,Imperativos,,,,,,Intentaré esforzarme al máximo en mi trabajo. ,,,,,
149,"Deberia tener más paciencia con mi hijo, soy una malamadre",Imperativos,Etiquetado,,,,,"Me gustaria tener más paciencia con mi hijo, para entenderle mejor",,,,,
150,No debo cometer errores si quiero que la gente se quede a mi lado,Imperativos,,,,,,"Todos cometemos errores y esto es normal, intentaré hacer las cosas aportando lo mejor de mi",,,,,
151,"Tengo que ser feliz, tengo todo lo que necessito y aún así me siento triste. ",Imperativos,,,,,,"No siempre estamos felices y esto es normal, no me puedo forzar a sentir felicidad siempre",,,,,
152,"Deberia querer más a mi pareja, ella hace todo por mi  y yo no.",Imperativos,,,,,,"Es impotrante que quiera a mi pareja, que la respete y la cuide, pero cada uno lo mostrará a su manera",,,,,
153,"No debo esperar tanto de la gente, luego me decepcionan y me siento mal.",Imperativos,,,,,,Intentaré no anticipar lo que puedan hacer los demás y si realmente necesito algo pedirlo asertivamente,,,,,
,Etiquetado,,,,,,,,,,,,
1,soy imbecil,Etiquetado,,,,,,,"¡perfecto, vamos a ello!","¡perfecto, vamos a ello!","Ayer me llamaron la atención en el trabajo, me olvidé de presentar un documento importante y esto ha hecho que mi empresa pierda un cliente importante. Es evidente que esto no es para mi, no pueden confiar en mi para que haga algo bien como entregar un documento en el plazo, seguro que piensan que soy un absoluto desastre y tienen razón.",,"Ayer cometí un olvido importante en el trabajo y me llamaron la atención. Se trata de un error que ha hecho que mi empresa pierda un cliente importante. Aunque me siento mal por mi olvido, es la primera vez que me ocurre y la primera que me tienen que llamar la atención después de tantos años"
2,no soy guapo,Etiquetado,,,,,,Actualmente cuando me miro al espejo no me veo bien,los cálculos que nos han proporcionado son catastróficos,los cálculos que nos han proporcionado son catastróficos,"Mi amiga vino a mi casa a contarme otra vez sus problemas con su novio. Estuvo una hora hablando sin parar de ella y no me preguntó ni una vez cómo estaba y eso que sabe que llevo unos días mal, qué desconsiderada y maleducada, como siempre.",,"Me hubiera gustado que después de escuchar a mi amiga, me hubiera preguntado cómo estaba. Aunque le gusta mucho explicar sus problemas, es cierto que se interesa por mi, por lo que ayer debía estar muy agobiada para no acordarse de preguntar."
3,Mi tío es estúpido,Etiquetado,,,,,,"Me molesta como se comportan algunas personas a veces, pero no todos podemos estar siempre de acuerdo",ese tío es asquerosamente rico,ese tío es asquerosamente rico,"Mi relación con mi marido va de mal en peor, parece que no pinto nada en su vida, le cuento como me siento y no le importa nada. Sabía que era un insensible pero tanto cómo para ignorar mis sentimientos de esta manera, no me lo esperaba.",,"No estoy a gusto con la relación actual que tenemos mi marido y yo. A veces siento que no se interesa por mi como a mi me gustaría, así como sentirme más comprendida cuando le expreso mis sentimientos."
4,soy completamente imbécil,Etiquetado,,,,,,"He fallado en el encargo que tenia del trabajo y ahora me siento mal, la proxima vez intentaré hacerlo mejor",quedarse sin cenar es lo peor,no hay nada peor que quedarse sin cenar,"No soporto las comidas familiares, siempre viene mi tía que no para de hablar, de preguntar y de hacer el cotilla. yo nunca le contestó pero parece que no se da por aludida.",,"Me resulta dificil ir a las comidas familiares a la que también va mi tía. Siento que me pregunta cosas que no me apetece contestar, aunque es posible que sea porque se interesa por mi."
5,no soy inteligente,Etiquetado,,,,,,En ocasiones me equivoco y las cosas me salen mal,¡qué guapa que eres!,¡qué guapa que eres!,"Desde que mi pareja me dejó que no levanto cabeza, me paso el día pensando en que las cosas no me pueden ir peor y que ya no me queda ninguna parte de mi vida en la que no sea un fracasado",,"Sé que la relación con mi pareja ha fracasado, çpero hay otras cosas que no me van tan mal. "
6,mi tio es insoportable,Etiquetado,,,,,,Mi tio no me cae demasiado bien,Es completamente estúpido pensar que puedes ir a la luna andando,es completamente estúpido pensar....,"He suspendido la asignatura, había estudiado duro y me habñia esforzado, pero por lo visto soy un inútil.",,"He suspendido una asignatura, a pesar de haberme esforzado y estudiar duro, el examen fué difícil para mi. Me disgusta pero sé que esta materia me cuesta mucho más que otras que he ido sacando sin tantos problemas."
7,no soy inteligente,Etiquetado,,,,,,"Muchas veces nos fijamos solo en los errores, seguro que puedes buscar momentos en los que te hayas sentido inteligente",en el deporte soy un poco torpe,en el deporte soy un poco torpe,"Ayer mis amigos salieron de fiesta y nadie se acordó de avisarme. Me he enterado por las fotos que han colgado en las redes sociales. No me lo esperaba, eso es de ser malas personas.",,Ayer mis amigos salieron de fiesta y nadie me avisó. me ha disgustado haberme enterado por las redes sociales. Me hubiera gustado que me hubieran llamado como han hecho antes.
8,la verdad es que no paro de pensar en que soy idiota,Etiquetado,,,,,,"cuando las cosas no salen como espero es dificil pensar bien de mi, pero en realidad muchas veces acierto",mi amiga a veces se pone pesada,mi amiga a veces se pone pesada,"Fuimos a casa de unos amigos y jugamos a un juego de mesa. Quedé el último, soy un desastre.",,Los juegos de mesa nunca se me han dado bien y quedé el último. no siempre es así pero ayer no estaba muy inspirado.
9,"soy un desastre, siempre me equivoco",Etiquetado,Sobregeneralización,,,,,"Aunque me haya equivocado, esto no significa que sea un desastre. Todos nos equivocamos a veces.",soy pésimo en el ajedrez,soy pésimo en el ajedrez,"En casa las cosas fatal, mis hijas son terribles, ya no sé cómo hablar para que se me haga caso.",,"En casa las cosas no van como me gustaría, a mis hijas les cuesta obedecer aunque a veces sí que acaban haciéndolo, preferiría que no costara tanto."
10,soy lo peor,Etiquetado,,,,,,Puedo hacer cosas mal pero eso no me define como persona,"mis compañeros son malos en fútbol, no le salen bien ningun pase","mis compañeros son malos en fútbol, no le salen bien ningun pase","Mi jefe salió de su despacho para la reunión semanal, que despota es, no sabe hablar bien a las personas.",,"Me gustaría que en la reunión mi jefe nos hubiera hablada de una marea más humilde, a veces me hace sentir mal según cómo nos hable."
11,mi amiga es idiota,Etiquetado,,,,,,"Mi amiga me ha dicho ciertas cosas que no comparto y esto me ha hecho enfadar, a veces no nos ponemos de auerdo",mi tio se pone insoportable cuando habla de política,mi tio se pone insoportable cuando habla de política,"Para animarme un poco me fuí de compras, pero ojalá no lo hubiera hecho, con lo horrible que soy no sé como pude pensar que encontraría algo que me quedara bien.",,"Ayer cuando fuí de compras no encontré nada que me gustara como me quedaba. A veces cuesta dar con algo con lo que me siente bien, pero sé que al final lo acabo encontrando."
12,soy completamente idiota,Etiquetado,,,,,,"A veces me equivoco, pero muchas otras hago las cosas bien","este vestido es horrible, nunca me lo compraria","este vestido es horrible, nunca me lo compraria","Qué pesadilla es estar en casa, mi madre siempre entrando en mi habitación, es una pesada.",,Mi madre a veces insiste en que haga algunas cosas y me resulta moelesto si estoy en mi habitación con mis cosas.
13,soy asqueroso,Etiquetado,,,,,,"Le he hablado mal a mi madre, he dicho cosas que no queria y ahora me siento mal conmigo mismo ",la música del bar es inaguantable mejor buscamos un sitio más tranquilo,la música del bar es inaguantable mejor buscamos un sitio más tranquilo,"Hoy iba por la calle y una señora me ha empujado y ni se ha disculpado, la gente es una maleducada!",,A veces hay gente que me parece poco educada.
14,es que soy imbecil no tengo remedio,Etiquetado,,,,,,"Me he vuelto a equivocar, igual podria intentar estar más atento",Esta decisión no es del todo inteligente,Esta decisión no parece del todo inteligente,"Le expliqué un secreto a mi amiga y se ha dedicado a ir contándolo por ahí. No se puede confiar en nadie, la gente es mala.",,"No me gustó que mi amiga contara el secreto, en algunas personas resulta dificil confiar, pero sé que en otras sí que se puede."
15,"he tenido problemas con mi antiguo jefe, es una mala persona",Etiquetado,,,,,,Mi jefe y yo tenemos formas diferentes de ver las cosas y no nos entendemos,"Soy la pequeña de mi familia, tengo dos hermanos mayores","Soy la pequeña de mi familia, tengo dos hermanos mayores","El otro día comentando un tema, me preguntaron mi opinión y cómo soy un ignorante no supe qué decir.",,"La verdad que hay temas que no tengo mucho conocimiento, si me hubieran preguntado de otra cosa habría sabido qué decir."
16,he discutido con mi pareja es completamente estúpido,Etiquetado,,,,,,No me gusta como responde mi pareja cuando discutimos,"Mi amigo es de Brasil, aunque hace dos años que vive en Barcelona y dice que le gusta mucho","Mi amigo es de Brasil, aunque hace dos años que vive en Barcelona y dice que le gusta mucho","Sólo hablo de lo mal que estoy, no me extraña que ya nadie me llame, soy insoportable.",,"Cómo no estoy bien, tengo la necesidad de contarle a los otros como me siento y a veces no me doy cuenta que quizás ahora mismo me cuesta hablar de otras cosas."
17,no soy nada inteligente,Etiquetado,,,,,,"Puede que hoy me haya equivocado, pero otras veces suelo tener una respuesta inteligente",Cuando me comparo con la gente de mi classe veo que soy bastante alto,Cuando me comparto con la gente de mi classe veo que soy bastante alto,"Le pedí a mi padre si me podía acercar a centro comercial, pero como siempre como es un amargado me contestó mal y al final fuí en autobús.",,"Mi padre a veces habla mal por cosas poco importantes, entiendo que le molestara llevarme pero me hubiera gustado que me lo hubiera dicho en lugar de contestarme mal."
18,es rematadamente tonto,Etiquetado,,,,,,"Se ha vuelto a equivocar, le puedo dar otra oportunidad","Este sitio es muy oscuro, me gustaria más si pusieran un poco de luz","Este sitio es muy oscuro, me gustaria más si pusieran un poco de luz","Estoy harta que mi hermana sea tan perfecta, me hace sentir que no valgo nada y que nunca poodré estar a su nivel.",,"Hay cosas que a mi hermana se le dan muy bien, pero también comete sus errores."
19,"Las personas son hipócritas, confías en ellas y te mienten",Etiquetado,,,,,,"Les expliqué mi problema y esperaba otra cosa de ellos, me han fallado esta vez.",El ruido que hacen las obras es insoportable,"El ruido que hacen las obras es insoportable, espero que acaben pronto","Estoy desesperada, siempre que me propongo hacer algo me sale mal, soy una desgraciada.",,Algunas de las cosas que me he propuesto no han salido como esperaba.
20,"Soy muy gafe, estropeo todo lo que toco.",Etiquetado,,,,,,"He intentado arreglar mi ordenador y en lugar de esto lo he estropeado más, mejor lo llevaré a reparar.",Me siento inutil leyendo cosas que no entiendo,Me siento inutil leyendo cosas que no entiendo,"Le he dicho a mi compañero que no me dirja más la palabra, es un aprochado y estoy harto de andar haciéndole favores.",,A veces mi compañero me pide favores que me parecen exagerados y prefiero no hacerlos.
21,"Mi amiga es muy egoísta, piensa solo en ella",Etiquetado,,,,,,Esta vez mi amiga no ha tenido en cuenta lo que yo necesitaba,"Soy muy mala perdedora, siempre me cuesta aceptarlo.","Soy muy mala perdedora, siempre me cuesta aceptarlo.","Me encantaría ser como mi amiga, es divertida y alegre, no como yo.",,"Mi amiga a menudo está alegre y se diverte enseguida, aunque no siempre es así."
22,Soy un desastre,Etiquetado,,,,,,me he equivocado de nuevo,"Que lento he sido comprando las entradas, ahora me he quedado sin! ",Qué listos mis amigos al comprar las entradas el primer día!,,,
23,"Soy fea, nadie va a acercarse a mí",Etiquetado,,,,,,No me siento bien conmigo misma y así es dificil que me abra a acercarme a otras personas,El ruido de la calle era isnoportable,El ruido de la calle era isnoportable,,,
24,Mis compañeros son malos,Etiquetado,,,,,,"Hoy mis compañeros han hecho algo que me ha dolido, mañana intentaré hablarlo",Mi amigo fue el triunfador de la competición,Mi amigo fue el triunfador de la competición,,,
25,Mi hermana es una egoista,Etiquetado,,,,,,Algunas veces mi hermana solo piensa en ella y no se da cuenta,Soy bajito y calvo ,Soy bajito y calvo ,,,
26,Soy el peor jugador del mundo,Etiquetado,,,,,,A veces no juego bien y pierdo,Soy una persona competitiva,Soy una persona competitiva,,,
27,Siempre soy impaciente y me salen las cosas mal,Etiquetado,,,,,,Si inetnto hacer las cosas con más calma seguramente la mayoria de cosas me saldran mejor,Veo a mi hermana excesivamente delgada,Veo a mi hermana excesivamente delgada,,,
28,no soy bueno,Etiquetado,,,,,,En algunas cosas no soy bueno pero otras si me salen bien,Mi hijo es muy alto segun los precentiles del pediatra,Mi hijo es muy alto segun los precentiles del pediatra,,,
29,Soy un perdedor,Etiquetado,,,,,,Las cosas no han salido bien hoy,,,,,
30,soy un fracaso,Etiquetado,,,,,,"he fracasado una vez, pero ello no significa que todo vaya a ser así siempre",,,,,
31,soy un inútil,Etiquetado,,,,,,Puedo ser muy útil en algunas cosas,,,,,
32,no soy listo,Etiquetado,,,,,,"Algunas cosas me resultan difíciles, pero otras me resultan más fáciles",,,,,
33,las personas no son buenas,Etiquetado,,,,,,"Algunas personas hacen actos que no son buenos, pero no todo el mundo es igual",,,,,
34,soy inaguantable,Etiquetado,,,,,,A veces me pongo un poco inaguantable,,,,,
35,mi hermana es perfecta,Etiquetado,,,,,,A mi hermana se le dan algunas cosas bien,,,,,
36,soy torpe,Etiquetado,,,,,,"A veces me equivoco, en otras ocasiones acierto con lo que hago.",,,,,
37,él siempre es un egoísta,Etiquetado,,,,,,A veces actúa de una manera que parece pensar más en él,,,,,
38,le doy vueltas a lo tonta que soy,Etiquetado,,,,,,"A veces aunque no me guste me equivoco, otras no",,,,,
39,mis amigos son insuperables,Etiquetado,,,,,,"Mis amigos tienen virtudes que admiro, pero a veces también se equivocan",,,,,
40,mi mujer es una mentirosa,Etiquetado,,,,,,En ocasiones mi mujer no me cuenta toda la verdad,,,,,
41,soy repulsivo,Etiquetado,,,,,,A veces hago cosas que no me gustan,,,,,
42,mi padre es horrible,Etiquetado,,,,,,En ocasiones mi padre me dice o hace acciones que no comparto,,,,,
43,soy un desgraciado,Etiquetado,,,,,,Pienso que algunos aspectos de mi vida no han salido como me gustaría,,,,,
44,soy un irresponsable,Etiquetado,,,,,,Me gustaría ser más responsable en el trabajo/en casa,,,,,
45,mi hijo es un inconsciente,Etiquetado,,,,,,Mi hijo a veces parece no pensar bien en las consecuencias de sus actos,,,,,
46,mi mejor amigo es un triunfador,Etiquetado,,,,,,Parece que a mi mejor amigo le ha ido muy bien en el trabajo,,,,,
47,soy la peor madre que existe,Etiquetado,,,,,,"Intento hacer todo lo que puedo por mis hijos, aunque a veces no llego a más",,,,,
48,soy espantoso,Etiquetado,,,,,,Hay aspectos de mi que me gustaría mejorar,,,,,
49,mis amigos son malas personas,Etiquetado,,,,,,"A veces siento que mis amigos no me aprecian suficiente, pero otras veces no es así ya que si no no serían mis amigos.",,,,,
50,mis padres son insufribles,Etiquetado,,,,,,Mis padres a veces me insisten mucho en que estudie/ayude en casa,,,,,
51,mi mujer es inaguantable,Etiquetado,,,,,,Mi mujer es muy insistente en algunos temas,,,,,
52,soy realmente una persona horrible,Etiquetado,,,,,,"A veces siento que soy una persona horrible, pero ciertamente algunas cosas las hago bien",,,,,
53,en todo lo que hago soy un fracasado,Etiquetado,,,,,,Me gustaría tener un mejor trabajo / mejorar en los estudios,,,,,
54,mi hermano es un ganador,Etiquetado,,,,,,"A mi hermano se le da muy bien estudiar, a mi se me dan bien otras cosas",,,,,
55,mi amigo es el mejor,Etiquetado,,,,,,Admiro la dedicación que pone mi amigo en el trabajo,,,,,
56,mi compañero es insoportable,Etiquetado,,,,,,"Mi compañero a veces me interrumpe y me desconcentra, aunque luego si necesitas algo siempre está dispuesto a ayudar",,,,,
57,"mi compañera es una ganadora, todo le sale bien",Etiquetado,,,,,,"Mi compañera es muy habilidosa en el trabajo, aunque a veces también comete errores",,,,,
58,soy un pobre infeliz,Etiquetado,,,,,,Cuando las cosas no salen como me gustaría me siento disgustado,,,,,
59,no soy una persona afortunada,Etiquetado,,,,,,me gustaría que me fuera mejor en las relaciones / en el trabajo / en casa,,,,,
60,mi marido es un despreocupado,Etiquetado,,,,,,A mi marido hay algunas cosas que le preocupan menos,,,,,
61,soy una ignorante,Etiquetado,,,,,,"Hay ciertos temas que no domino, aunque de otros temas sí que tengo conocimiento",,,,,
62,mi mujer es una embustera,Etiquetado,,,,,,Hay ciertas cosas que a mi mujer le cuesta contarme,,,,,
63,soy aburrida,Etiquetado,,,,,,"Hay ciertas actividades que no me gustan, en otras me divierto",,,,,
64,mi amiga es pesada,Etiquetado,,,,,,Mi amiga es muy insistente con cosas que le interesan,,,,,
65,ella es alegre,Etiquetado,,,,,,"Ella a menudo está alegre, aunque no siempre está igual",,,,,
66,no soy divertido,Etiquetado,,,,,,"En ocasiones soy serio, aunque en otras puedo ser divertido",,,,,
67,mis amigos sí que son listos,Etiquetado,,,,,,"Considero listos a mis amigos, aunque cometen errores también",,,,,
68,soy un egoísta,Etiquetado,,,,,,"A veces creo que pienso sólo en mi, pero no siempre es así",,,,,
69,es una ambiciosa,Etiquetado,,,,,,Es un persona que parece tener muchos proyectos,,,,,
70,mi marido es un avaricioso,Etiquetado,,,,,,"A mi marido le preocupa mucho el dinero, aunque si es necesario gastar lo hace.",,,,,
71,para mi jefe soy invisible,Etiquetado,,,,,,"Tengo la sensación que mi jefe no cuenta suficiente conmigo, pero no siempre es así",,,,,
72,soy insaciable,Etiquetado,,,,,,Me gustaria en ciertos aspectos conformarme con menos,,,,,
73,no soy una persona agraciada,Etiquetado,,,,,,En el trabajo/estudios/relaciones me gustaría mejorar,,,,,
74,en mi familia somos unos amargados,Etiquetado,,,,,,En mi familia a veces nos enfadamos por cosas poco importantes,,,,,
75,mi hija es terrible,Etiquetado,,,,,,A veces me cuesta que mi hija obedezca a lo que pido,,,,,
76,Mis compañeros son unos vagos,Etiquetado,,,,,,Mis compañeros hablan mucho y se distraen,,,,,
77,soy un malpensado,Etiquetado,,,,,,"A veces pienso sobre las personas, aunque no siempre es así",,,,,
78,mi amiga sí que es maravillosa,Etiquetado,,,,,,Valoro mucho algunas cualidades de mi amiga,,,,,
79,soy mediocre,Etiquetado,,,,,,"No todo se me da bien, pero algunas cosas sí",,,,,
80,soy una persona gris,Etiquetado,,,,,,"Me gustaría cambiar algunos aspectos de mi persona, aunque con otros me siento bien siendo como soy",,,,,
81,mis amigos sí que son felices,Etiquetado,,,,,,"me parece que mis amigos a menudo están felices, aunque no siempre son así",,,,,
82,mi tía es una cotilla,Etiquetado,,,,,,me gustaría que mi tía me preguntara menos sobre mi vida,,,,,
83,soy un quejica,Etiquetado,,,,,,a veces siento la necesidad de explicarle a los demás lo que me disgusta/me enfada,,,,,
84,soy débil,Etiquetado,,,,,,Hay cosas con las que me resulta dificil enfrentarme,,,,,
85,mi amiga es fuerte,Etiquetado,,,,,,"Parece que mi amiga afronta los problemas, aunque puede que le resulte difícil",,,,,
86,soy un cobarde,Etiquetado,,,,,,Algunas situaciones me asustan,,,,,
87,mi padre es un amargado,Etiquetado,,,,,,mi padre a menudo se enfada por cosas poco importantes,,,,,
88,mi jefe es un despota,Etiquetado,,,,,,mi jefe tiene una manera de hablar que a veces me hace sentir que no valora mi trabajo.,,,,,
89,mi marido es un insensible,Etiquetado,,,,,,A veces siento que mi marido no es tan sensible con mis preocupaciones como a mi me gustaría,,,,,
90,mi marido es un desalmado,Etiquetado,,,,,,Siento que mi marido a veces puede parecer que no se preocupa por nosotros,,,,,
91,soy un tacaño,Etiquetado,,,,,,Me preocupa el dinero e intento no malgastarlo en cosas de poca utilidad,,,,,
92,mi compañero es un pretencioso,Etiquetado,,,,,,"mi compañero tiene una manera de hablar que parece saberlo todo, aunque no siempre es así",,,,,
93,soy malvado,Etiquetado,,,,,,He hecho algunas cosas que no me gustan,,,,,
94,mi amiga es cruel,Etiquetado,,,,,,A veces siento que mi amiga no tiene suficiente consideración con los demás,,,,,
95,mi madre es irritante,Etiquetado,,,,,,En ocasiones me molesta como me habla mi madre,,,,,
96,soy una persona horrible,Etiquetado,,,,,,"Me gustaría mejorar en algunas cosas, aunque hay otras que están bien",,,,,
97,mi amigo es estupendo,Etiquetado,,,,,,"Me gusta como es mi amigo, aunque hay algunas cosas de él que no comparto",,,,,
98,soy pesado,Etiquetado,,,,,,A veces tengo la impresión que puedo ser insistente si el tema me preocupa,,,,,
99,mi mujer es insuperable,Etiquetado,,,,,,"Admiro muchas cualidades de mi mujer, aunque a veces se equivoca",,,,,
100,mis hijas son irritantes,Etiquetado,,,,,,"A menudo se me hace difícil interactuar con mis hijas, sobretodo si están molestas o enfadadas",,,,,
101,ella es una pedante,Etiquetado,,,,,,"Me gustaría que cuando habla del trabajo, ella me hablara de manera más humilde",,,,,
102,alguien es un pretencioso,Etiquetado,,,,,,A alguien le gusta a veces presumir de lo que consigue.,,,,,
103,mi amigo es un engreído,Etiquetado,,,,,,"Según lo que hablemos, mi amigo se muestra muy orgulloso de sí mismo",,,,,
104,mi jefe es un prepotente,Etiquetado,,,,,,Me gustaría que mi jefe se dirigiera a mi de manera más humilde,,,,,
105,ella es fantástica,Etiquetado,,,,,,Ella tiene algunas cualidades que me gustan,,,,,
106,mis amigos sí que son animados,Etiquetado,,,,,,"Según lo que hagamos, mis amigos pueden ser más divertidos",,,,,
107,soy un desastre,Etiquetado,,,,,,Algunas cosas no las hago como desaría,,,,,
108,mis amigos son unos mentirosos,Etiquetado,,,,,,A mis amigos les cuesta a veces ser sinceros,,,,,
109,soy perezoso,Etiquetado,,,,,,"Si algo no me interesa, me cuesta ponerme con ello",,,,,
110,"no tengo solución, soy un cobarde",Etiquetado,,,,,,Las cosas que me aterran me resultan difíciles de afrontar,,,,,
111,no soy atrevido,Etiquetado,,,,,,Prefiero tomar precauciones si algo no veo claro,,,,,
112,mi hijo es un dejado,Etiquetado,,,,,,Me gustaría que mi hijo se implicara más en algunas cosas que para mi son importantes,,,,,
113,soy lento,Etiquetado,,,,,,Hay tareas que me cuestan más de hacer y siento que me gustaría poder hacerlas más rápido.,,,,,
114,mi amiga es una aprovechada,Etiquetado,,,,,,A veces siento que mi amiga piensa demasiado en su beneficio,,,,,
115,es una persona mezquina,Etiquetado,,,,,,Es una persona que hace actos con los que no estoy de acuerdo,,,,,
116,mis amigos son insensibles,Etiquetado,,,,,,Me gustaría que mis amigos comprendieran más lo que me preocupa,,,,,
