,text,pre_annotation,miriam,xavi,mireia,agreement,Rejected
d_79,"Las personas son hipócritas, confías en ellas y te mienten",['Etiquetado'],"['abstracción selectiva', 'sobregeneralización', 'adivinación']",['sobregeneralización'],"['pensamiento absolutista', 'sobregeneralización']",3.0,
d_52,tengo que comer menos,['Imperativos'],['imperativos'],['imperativos'],,2.0,
d_71,mi amiga es idiota,['Etiquetado'],['etiquetado'],[],['etiquetado'],2.0,
t_34,Piensa mal y acertarás ,[],['adivinación'],[],['adivinación'],2.0,
t_184,"Estaban criticando a alguien esta mañana en el trabajo, seguro que no soy yo",[],"['leer la mente', 'abstracción selectiva']",[],['adivinación'],1.0,
d_20,mi pareja siempre hace lo mismo,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_169,"Si te da miedo, es porque debe haber algo peligroso en ello.",['Razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],3.0,
d_56,tengo que ser el mejor si no me despedirán,['Imperativos'],['imperativos'],['pensamiento absolutista'],['pensamiento absolutista'],2.0,
d_19,siempre me ignora,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_133,"Me he equivocado en el nombre de un informe, mi jefa me va a matar, nunca más confiará en mí, esto ya no puede ser peor",['Catastrofismo'],"['catastrofismo', 'abstracción selectiva', 'sobregeneralización']",['catastrofismo'],"['sobregeneralización', 'abstracción selectiva', 'etiquetado', 'adivinación']",2.0,
d_86,No aguanto más la situación con mi pareja. O elige a su familia o me elige a mí,['Pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
d_80,"Soy muy gafe, estropeo todo lo que toco.",['Etiquetado'],"['sobregeneralización', 'etiquetado']","['etiquetado', 'abstracción selectiva']","['etiquetado', 'sobregeneralización']",3.0,
d_167,Mi abuelo murió hace un mes y mi madre está triste desde entonces. Creo que ella se va a morir también.,['Razonamiento emocional'],['abstracción selectiva'],['adivinación'],['razonamiento emocional'],1.0,
d_145,Mi jefe me ha pedido que llegue cinco minutos antes. No está contento con mi trabajo.,['Abstracción selectiva'],['leer la mente'],['abstracción selectiva'],"['abstracción selectiva', 'leer la mente']",2.0,
t_190,"Me estaban mirando los pantalones, seguro que es porque quiere unos iguales",[],['leer la mente'],['leer la mente'],['leer la mente'],3.0,
d_83,"O soy perfecto, o soy un desastre",['Pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],['pensamiento absolutista'],3.0,
t_148,No tengo comida en casa por lo que tendré que pedirla a domicilio,[],['imperativos'],,,1.0,
d_104,"Estoy segura de que, aunque salga con amigos, me sentiré mal.",['Adivinación'],['adivinación'],['adivinación'],['adivinación'],3.0,
d_165,"Me siento solo, nunca tendré amigos de verdad","['Razonamiento emocional', 'Adivinación']",['razonamiento emocional'],['razonamiento emocional'],"['razonamiento emocional', 'sobregeneralización']",3.0,
d_101,estoy convencida de que me sentiré mal.,['Adivinación'],['adivinación'],['adivinación'],['adivinación'],3.0,
d_155,La crítica que hicieron sobre mi exposición me fastidió el día entero ,['Abstracción selectiva'],['catastrofismo'],,,1.0,
t_155,"Hemos llegado al restaurante y estaba cerrado, se no ha fastidado la hora de comer",[],[],['abstracción selectiva'],['abstracción selectiva'],2.0,
d_112,Seguro que no apruebo la evaluación,['Adivinación'],['adivinación'],['adivinación'],['sobregeneralización'],2.0,
a_59,Si me organizo el teimpo no me pondré tant nervioso y todo saldrá bien,[],[],,"['abstracción selectiva', 'sobregeneralización']",1.0,
t_21,estoy seguro de mis capacidades,[],['pensamiento absolutista'],,['personalización'],1.0,
t_185,Nada de lo que ha sucedido es por mi culpa,[],['pensamiento absolutista'],[],['sobregeneralización'],1.0,
d_137,"Mi hijo no me ha llamado para decirme que ha llegado. Seguro que les ha pasado algo malo, algo terrible, seguro que han tenido un accidente",['Catastrofismo'],['abstracción selectiva'],['catastrofismo'],"['sobregeneralización', 'abstracción selectiva']",2.0,
d_148,Mis padres se han separado. Seguro que ha sido por mi culpa.,['Abstracción selectiva'],['personalización'],['personalización'],"['razonamiento emocional', 'personalización']",3.0,
d_41,Tengo que estudiar como sea,['Imperativos'],['imperativos'],,,1.0,
d_134,"Que no me responda al mensaje sería lo peor del mundo, lo peor que me podría pasar",['Catastrofismo'],['catastrofismo'],['catastrofismo'],['catastrofismo'],3.0,
t_107,"si digo como me siento, me sentiré vulnerable ",[],['abstracción selectiva'],['adivinación'],,1.0,
d_40,"nunca me ha dicho nada malo, pero sé que me odia",['Leer la mente'],['leer la mente'],"['abstracción selectiva', 'leer la mente']",['leer la mente'],3.0,
d_18,todo lo hago mal,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_3,Todo lo hago igual,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_1,Todo me sale mal… ,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_132,"Me noto el corazón muy acelerado, me dará un ataque de pánico y será horroroso",['Catastrofismo'],"['razonamiento emocional', 'catastrofismo']","['adivinación', 'catastrofismo']","['catastrofismo', 'abstracción selectiva']",3.0,
t_50,debo ir al supermercado porque tengo la nevera vacía,[],['imperativos'],,,1.0,
d_91,si no dejo de comer seguiré estando gordo,['Pensamiento absolutista'],[],['pensamiento absolutista'],,1.0,
d_10,nadie me echa cuenta,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],['sobregeneralización'],2.0,
d_108,No iré a la fiesta porque seguro que hago el ridículo,['Adivinación'],['pensamiento absolutista'],['adivinación'],['adivinación'],2.0,
t_92,Si no le hago la comida a mi pareja no conseguirá su meta de estar más delgada porque no se sabe cocinar,[],['adivinación'],['adivinación'],"['adivinación', 'abstracción selectiva']",3.0,
t_186,"Mi compañero de trabajo me ha mirado esta mañana, seguro que le gusto",[],['leer la mente'],['abstracción selectiva'],,1.0,
d_174,"Siento que no soy capaz, por lo tanto no debo serlo",['Razonamiento emocional'],['razonamiento emocional'],['razonamiento emocional'],,2.0,
d_12,siempre tengo problemas,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],,1.0,
d_113,no superaré la entrevista,['Adivinación'],['adivinación'],['adivinación'],,2.0,
d_17,nadie me tiene en cuenta,['Sobregeneralización'],['pensamiento absolutista'],['sobregeneralización'],,1.0,
d_114,Seguro que hará mal tiempo en vacaciones,['Adivinación'],['adivinación'],['adivinación'],,2.0,
t_69,soy pésimo en el ajedrez,[],['etiquetado'],,"['personalización', 'etiquetado']",2.0,
d_11,nadie me valora,['Sobregeneralización'],['pensamiento absolutista'],['abstracción selectiva'],"['sobregeneralización', 'etiquetado']",1.0,
d_39,"siempre me dice que me quiere, pero sé que no es verdad",['Leer la mente'],['leer la mente'],['leer la mente'],"['adivinación', 'sobregeneralización']",2.0,
d_13,jamás tendré fuerzas para conseguir lo que quiero,"['Sobregeneralización', 'Adivinación', 'Catastrofismo']",['catastrofismo'],['adivinación'],"['sobregeneralización', 'adivinación']",2.0,
d_76,he discutido con mi pareja es completamente estúpido,['Etiquetado'],['etiquetado'],,"['abstracción selectiva', 'personalización']",1.0,
t_93,O llego a mi trabajo a las 8 que es la hora perfecta o más tarde no consigo aparcar el coche,[],['pensamiento absolutista'],,['pensamiento absolutista'],2.0,
d_78,es rematadamente tonto,['Etiquetado'],['etiquetado'],,"['etiquetado', 'personalización']",2.0,
d_36,"nunca me ha dicho nada, pero sé que piensa mal de mí",['Leer la mente'],['leer la mente'],,['leer la mente'],2.0,
d_111,Estoy convencida de que todo irá mal,"['Adivinación', 'Sobregeneralización']",['pensamiento absolutista'],,['adivinación'],1.0,
d_66,mi tio es insoportable,['Etiquetado'],['etiquetado'],,['etiquetado'],2.0,
d_171,"Si estudiar no me hace feliz, es porque no es bueno para mí",['Razonamiento emocional'],['abstracción selectiva'],,"['razonamiento emocional', 'abstracción selectiva']",2.0,
d_94,O está todo bien organizado o no voy a ir al viaje,['Pensamiento absolutista'],['pensamiento absolutista'],,['pensamiento absolutista'],2.0,
d_26,la gente del trabajo me odia,['Leer la mente'],"['leer la mente', 'pensamiento absolutista']",,['leer la mente'],2.0,
d_182,Mi jefe me ha dicho que todos los pacientes a cargo de un residente deberían ser examinados por un médico de la plantilla. Seguro que jefe no se fía de mi trabajo.,['Personalización'],"['sobregeneralización', 'leer la mente']",,"['abstracción selectiva', 'personalización']",1.0,
d_22,"Sé que mi padre, en el fondo, piensa que soy un inútil.",['Leer la mente'],['leer la mente'],,"['leer la mente', 'etiquetado']",2.0,
d_163,"Siento que soy una mala persona, por tanto debo serlo.",['Razonamiento emocional'],['razonamiento emocional'],,['razonamiento emocional'],2.0,
t_41,debería comprar el pan para la cena,[],['imperativos'],,,1.0,
t_31,Solo sé que no sé nada.,[],['pensamiento absolutista'],,['sobregeneralización'],1.0,
d_68,la verdad es que no paro de pensar en que soy idiota,['Etiquetado'],['etiquetado'],,['etiquetado'],2.0,
t_165,"Siento, que no puedo con esto.  Pesa tanto que no puedo.",[],['razonamiento emocional'],,['razonamiento emocional'],2.0,
d_14,constantemente estoy haciendo las cosas mal,['Sobregeneralización'],['pensamiento absolutista'],,['sobregeneralización'],1.0,
t_129,Es insoportable la gente que habla en el cine,[],"['catastrofismo', 'sobregeneralización']",,['catastrofismo'],2.0,
d_117,me va a ir mal con mi pareja,['Adivinación'],['adivinación'],,['adivinación'],2.0,
d_196,"Hemos ido de vacaciones y no ha parado de llover, es mi culpa debería haberlo comprobado antes.","['Personalización', 'Imperativos']",['imperativos'],,['personalización'],1.0,
d_170,"Esta persona me da mala espina, seguro que quiere hacerme daño","['Razonamiento emocional', 'Leer la mente']","['razonamiento emocional', 'adivinación']",,"['razonamiento emocional', 'abstracción selectiva', 'adivinación']",2.0,
t_163,"Si me siento soy incompetente, tengo que trabajar de pie!",[],"['abstracción selectiva', 'etiquetado']",,['razonamiento emocional'],1.0,
d_136,"Si me deja mi mujer, será horrible, el fin, me moriré",['Catastrofismo'],"['adivinación', 'catastrofismo']",,['catastrofismo'],2.0,
d_57,tengo que trabajar más,['Imperativos'],['imperativos'],,,1.0,
t_105,"si no estudio, me sentiré inseguro",[],['adivinación'],,,1.0,
d_105,"sé que no voy a aprobar el examen, aunque haya estudiado mucho",['Adivinación'],['adivinación'],,['adivinación'],2.0,
t_132,Será algo duro y difícil,[],['adivinación'],,"['etiquetado', 'adivinación']",2.0,
t_100,Si soy feliz por cómo estoy aprendiendo a bailar me volveré una volveré bailarina profesional,[],['adivinación'],,,1.0,
d_35,estoy seguro de que no le caigo bien aunque me diga que sí,['Leer la mente'],['leer la mente'],,"['adivinación', 'leer la mente']",2.0,
d_146,Mi madre está jugando con mi hermana pequeña. Creo que mi madre quiere más a mi hermana que a mí.,['Abstracción selectiva'],"['abstracción selectiva', 'personalización']",,['abstracción selectiva'],2.0,
d_75,"he tenido problemas con mi antiguo jefe, es una mala persona",['Etiquetado'],['abstracción selectiva'],,"['razonamiento emocional', 'abstracción selectiva']",2.0,
t_199,Mis padres estan hablando de mi en otra habitación,[],['leer la mente'],,,1.0,
d_63,Mi tío es estúpido,['Etiquetado'],['etiquetado'],,['etiquetado'],2.0,
t_188,Seguro que no es mi culpa que ya no me hable más,[],[],,,,Yes
d_130,"Si mañana no me sale bien el examen será horroroso, yo me muero",['Catastrofismo'],"['adivinación', 'catastrofismo']",,['catastrofismo'],2.0,
a_87,"Lo importante es hacer bien mi trabajo y cumplir con los objetivos, si es así no habrá ningun problema",[],[],['pensamiento absolutista'],"['adivinación', 'personalización', 'abstracción selectiva']",1.0,
d_158,"Tuve una cita con un chico y, pese a que lo pasamos bien, me molestó que llegase tarde. Quizás no le intereso tanto",['Abstracción selectiva'],[],['abstracción selectiva'],"['catastrofismo', 'abstracción selectiva']",2.0,
t_95,O descanso o luego no rindo en el gimnasio ni puedo hacer los movimientos perfectos,[],[],['pensamiento absolutista'],['pensamiento absolutista'],2.0,
t_177,"Siento que no soy bueno en mi trabajo, si ellos lo pensaran ya me habrían despedido",[],[],,[],,Yes
t_152,"Me comentaron que la comida tenía mucha sal, por lo que debo ser un tío muy salado.",[],['abstracción selectiva'],,"['etiquetado', 'abstracción selectiva']",2.0,
t_131,"Si suspendo el examen de la próxima semana me bajará mucho la nota media, que horro!",[],[],,['catastrofismo'],1.0,
a_56,Si me implico en trabajo no tengo porque tener ningun problema,[],[],['adivinación'],"['sobregeneralización', 'abstracción selectiva', 'adivinación']",2.0,
a_131,"(Después de esto) Me costará recuperarme, pero saldré adelante",[],[],,['adivinación'],1.0,
a_105,Si vas bien preparado no hay motivo para suspender,[],[],['abstracción selectiva'],['sobregeneralización'],1.0,
t_192,"No me han llamado aún mis amigos, seguro que lo haran pronto",[],[],,['adivinación'],1.0,
a_13,"Me cuesta sacar fuerzas para conseguir lo que quiero, pero tengo claro que necesito hacerlo. ",[],[],,[],,Yes
t_173,Si me siento un perdedor es porque el examen de hoy me ha ido mal,[],['razonamiento emocional'],['razonamiento emocional'],['abstracción selectiva'],2.0,
t_194,A la gente le gusta hablar bien de mi,[],[],,['leer la mente'],1.0,
a_118,sin hacerlo no puedo saber cuál será el resultado,[],[],,[],,Yes
t_157,"La erupción del volcan destruyó muchas viviendas, ha sido un desastre para la población",[],[],,"['sobregeneralización', 'abstracción selectiva']",1.0,
a_38,Quiero mucho a mis amigos y a veces pienso que ellos a mi no tanto,[],[],['abstracción selectiva'],['leer la mente'],1.0,
a_170,"Esta persona me da mala espina, pero no  tengo motivos para pensar que quiere hacerme daño",[],[],,[],,Yes
a_34,Como me ayuda supongo que soy una persona importante para ella,[],[],,"['abstracción selectiva', 'etiquetado']",1.0,
a_152,No sacar todo sobresalientes no me convierte en un desastre. ,[],[],,,,Yes
t_6,Nunca he ido a italia,[],[],,,,Yes
a_29,Me trata bien aunque a veces me hace pensar que me odia,[],[],,[],,Yes
a_32,Creo que me odia,[],[],,['leer la mente'],1.0,
d_187,"Mis padres están teniendo una discusión en otro cuarto. Cuando pronuncian mi nombre, piesno que se están discutiendo por mi culpa.",['Personalización'],"['sobregeneralización', 'personalización']",,"['personalización', 'abstracción selectiva']",2.0,
t_182,"He estudiado mucho, no merecía suspender",[],[],,['abstracción selectiva'],1.0,
d_47,Debo sacar como sea adelante el curso.,['Imperativos'],['imperativos'],,['imperativos'],2.0,
d_143,"Pude haber disfrutado de la excursión a no ser por el pollo, que estaba quemado.",['Abstracción selectiva'],"['abstracción selectiva', 'catastrofismo']",,['abstracción selectiva'],2.0,
t_99,O me esfuerzo mucho en conseguir lo que quiero o me resutará bastante difícil ,[],[],['pensamiento absolutista'],,1.0,
a_93,"Es importante que nos impliquemos en el trabajo y seamos resonsables, si cumplo con lo acordado todo estará bien",[],[],['adivinación'],,1.0,
d_46,Tengo que ser más responsable y planifica mejor las semanas,['Imperativos'],['imperativos'],['imperativos'],,2.0,
a_78,"Les expliqué mi problema y esperaba otra cosa de ellos, me han fallado esta vez.",[],,[],,,Yes
